Name,dist_gaia,e_dist_gaia,Per,Mode,RAdeg,DEdeg
AA____Mon,3185.7279388340235,151.21804957533718,3.9381476,False,104.34904133924,-3.84333603279
AD____Cru,3414.134516899966,153.8633505595139,6.3972335,False,183.24856425679,-62.09682348717
AE____Vel,2832.0589068252616,97.04874706004364,7.1339448,False,144.21440532679,-53.03277856562
AG____Cru,1347.3457289140395,36.12527570999312,3.837276,False,190.35841821391,-59.79418647823
AP____Pup,1097.694840834248,23.978185541561665,5.0842863,False,119.44026790303,-40.12333658753
AP____Sgr,846.3817181548878,17.19268845728844,5.0580832,False,273.26040331964,-23.11729473325
AP____Vel,1883.2391713747645,45.04168961848639,3.1277594,False,129.94061197026,-43.86085351062
AQ____Car,2853.0670470756063,126.16986735216463,9.7695137,False,155.34567308597,-61.07407529178
AS____Cas,3117.206982543641,133.122617498014,3.0245807,False,6.40720321478,64.22989095514
AS____Per,1632.6530612244896,42.91545346795097,4.9719057,False,64.94524474253,48.95326102831
AT____Pup,1692.0473773265653,45.5220894633045,6.6649973,False,123.09332136279,-36.94374167099
AW____Cas,2568.0534155110427,125.96255323849836,4.2782594,False,19.00501795289,61.6207052192
AW____Per,946.4319515426841,25.707549405480837,6.4634539,False,71.9429804233,36.72278112168
AX____Vel,1470.5882352941176,37.62975831396851,3.6732894,False,122.70547092229,-47.69852752694
AY____Car,3562.522265764161,153.56793438606763,5.5732683,False,158.63078840032,-59.80853832262
AY____Cas,2585.9839668994055,106.32828414334725,2.8715563,False,24.74993790567,64.9892375522
AY____Cen,1782.5311942959,45.43706941231744,5.3094716,False,171.2739188858,-60.73461169167
AY____Sgr,1988.4668920262477,73.93981045815005,6.5696422,False,275.82979378305,-18.57477358789
BB____Sgr,868.357068426537,17.870843300967532,6.6360805,False,282.74947248862,-20.29525298445
BE____Mon,2127.6595744680853,78.76867471425552,2.7055496,False,100.02325672527,7.60583514562
BF____Cas,3971.4058776806987,192.41918495902812,3.6302462,False,3.51343091888,60.98626381104
BF____Oph,866.7013347200556,18.10322603599581,4.0675349,False,256.52291020043,-26.58056513078
BG____Lac,1800.1800180018001,60.60011908951433,5.3315485,False,330.10475637179,43.44535204904
BG____Vel,965.0646593321752,15.739810847978793,6.9237971,False,137.06554453409,-51.43625401776
BK____Aur,2546.473134708429,97.26787921277,8.002431,False,77.66762373902,49.68760306511
BK____Cen,2501.250625312656,75.07505694010167,3.1738807,False,177.31664685853,-63.07857603742
BM____Pup,3579.0980672870437,169.09124635716515,7.1983699,False,117.51301067815,-28.25514040613
BP____Cas,2438.4296513045597,74.91883356841363,6.2721399,False,18.75455551661,65.59940470356
BQ____Ser,1128.286133363421,20.877685521774886,4.2710037,False,279.06642121339,4.39825268115
BR____Vul,2417.21053903795,101.08228988806263,5.1969917,False,296.64660010344,22.88975328135
BV____Mon,2876.86996547756,138.21555577921922,3.0139684,False,104.21285438226,4.51618573426
BX____Sct,2180.074122520166,103.60936636522133,6.4110044,False,282.53848712785,-4.36811775674
BZ____Cyg,2119.54217888936,61.546689005707464,10.141932,False,311.49912578441,45.30693439453
CD____Cas,2623.9832065074784,92.95138862952055,7.8013197,False,356.2609253074,63.00384591916
CD____Cyg,2728.512960436562,122.0944413934867,17.0785209,False,301.1106612854,34.11224946615
CF____Cas,3460.2076124567475,148.46565960821536,4.8750393,False,359.57487036665,61.2210537331
CH____Cas,3293.807641633729,158.39786792370373,15.0922893,False,350.61846318913,62.75714262024
CK____Cam,710.126402499645,9.732594869487436,3.2948214,False,76.63188025361,55.35351493458
CK____Sct,2223.210315695865,97.37048323332122,7.4161139,False,280.25276444138,-6.09722740672
CM____Sct,2468.5262898049864,100.54476317225085,3.9170249,False,280.6117490091,-5.34085190525
CN____Car,3058.103975535168,131.86320139775398,4.9326581,False,153.88689197974,-58.17443820997
CO____Vel,2322.8803716608595,82.55533074836264,4.2755229,False,127.42212200553,-40.33388232918
CP____Vel,4863.813229571984,236.56678603391472,9.8427028,False,132.04364074264,-48.65915229644
CR____Cep,1486.5467518953471,29.611603781808416,6.2328499,False,341.60317447817,59.44218743844
CR____Ser,1868.8095683049896,68.1027608555933,5.301366,False,272.50887793975,-13.54596188866
CS____Mon,3450.655624568668,166.69834449656952,6.7319962,False,98.04559743918,6.653060807
CS____Vel,3829.9502106472614,183.35648543268704,5.9047043,False,145.29271952315,-53.81603750378
CV____Mon,1762.1145374449338,45.95470513138729,5.3786737,False,99.27018871085,3.06396219477
CY____Car,2417.21053903795,65.44055371503336,4.2659148,False,164.46107872434,-60.74208432061
DD____Cas,3104.6258925799443,126.2669962686432,9.8129918,False,359.39564965836,62.71824065724
DF____Cas,2902.757619738752,115.43622473352403,3.8324243,False,41.1804760943,61.46469937345
DL____Cas,1808.9725036179452,89.66325368464148,8.0003072,False,7.49409611203,60.21195729734
DP____Vel,3075.0307503075032,119.1432580082356,5.4844858,False,142.56597387155,-53.05867480342
DR____Vel,1981.375074301565,52.60635066526013,11.1993194,False,142.92069032895,-49.65498878585
DW____Cas,2657.4541589157584,92.51302084281382,4.9975112,False,354.70162227675,59.39182072678
ER____Car,1164.551065564225,20.34268730990707,7.7185954,False,167.42134476018,-58.83771478223
EW____Sct,471.38682002451213,5.177388841055789,5.8229228,False,279.4629885032,-6.7967958457
EY____Car,2475.860361475613,68.04171687106738,2.8759761,False,160.59590755007,-61.16590080734
FF____Aql,524.7415647793462,19.605183659022952,4.470916,False,284.56144590723,17.36087233039
FG____Vel,3023.888720895071,115.21317790397127,6.4536452,False,143.34883899137,-52.75584510624
FM____Aql,1018.2262498727217,26.74904606340915,6.1142663,False,287.31662690693,10.55246519356
FM____Cas,2240.6453058480843,83.34015571616229,5.8088478,False,3.61765603372,56.25293038823
FN____Aql,1424.9073810202337,49.74384428895186,9.4815651,False,288.19713780419,3.55739781345
FO____Car,4037.141703673799,198.84185641631964,10.3564096,False,165.37783060162,-62.29078788532
FR____Car,3098.853424233034,135.40078740127808,10.7167444,False,168.58835863703,-60.05291804009
GH____Cyg,2570.0334104343356,95.11303128895614,7.8163294,False,299.79497615604,29.45072316718
GM____Cas,2640.612622128334,125.51102495960895,7.4677769,False,36.736205548,60.5714148129
GU____Nor,1863.2383081796163,51.727688622491684,3.4529291,False,243.72812715093,-53.33843952314
GX____Car,2235.63603845294,65.47469779477554,7.19688,False,148.85895347622,-58.42968844947
GZ____Car,2375.861249703017,55.318224098915856,4.1589077,False,155.08483001084,-59.37660856364
HL____Pup,3244.6463335496433,137.91326180598222,3.4824724,False,122.79503233457,-33.51586014164
