Name,Dist,e_Dist,Per,Mode,ra,dec
AS____Cas,2912,63,3.0245807,F,6.40721,64.22989
DL____Cas,1718,52,8.0003072,F,7.49413,60.21197
XY____Cas,2067,63,4.5017086,F,12.47191,60.12739
BP____Cas,2345,67,6.2721399,F,18.7546,65.59939
OZ____Cas,1912,64,5.0791375,F,18.58138,62.04403
AW____Cas,2818,88,4.2782594,F,19.00501,61.6207
V1013_Cas,3562,120,3.7555413,F,20.42653,61.76873
AY____Cas,2532,78,2.8715563,F,24.74996,64.98928
VX____Per,2419,71,10.8792785,F,31.95201,58.44353
GM____Cas,2346,49,7.4677769,F,36.73625,60.57144
SZ____Cas,2279,63,13.6405457,F,36.80738,59.46061
VY____Per,2066,65,5.5319054,F,36.89762,58.91722
V440__Per,761,26,7.57,F,35.96559,55.36486
UY____Per,2332,71,5.3651845,F,38.63037,58.83169
DF____Cas,2619,59,3.8324243,F,41.18046,61.46473
OX____Cam,1561,51,5.0655012,F,57.10705,59.44227
J053.5926+54.6072,3009,94,3.569043,F,53.5927,54.60724
MM____Per,3054,82,4.1183838,F,56.34729,48.08347
CK____Cam,641,21,3.2948214,F,76.63188,55.35353
AS____Per,1442,51,4.9719057,F,64.94524,48.95327
BK____Aur,2498,75,8.002431,F,77.66763,49.6876
SY____Aur,2524,76,10.14465,F,78.16345,42.83177
RX____Aur,1585,51,11.6257968,F,75.34662,39.96039
AW____Per,815,28,6.4634539,F,71.94295,36.7228
Y_____Aur,1951,64,3.8595469,F,82.1635,42.43774
ST____Tau,1063,37,4.034304,F,86.26317,13.57635
W_____Gem,986,54,7.9128942,F,98.73938,15.33048
CS____Mon,3926,91,6.7319962,F,98.04558,6.65305
BE____Mon,1981,60,2.7055496,F,100.02325,7.60583
CV____Mon,1729,39,5.3786737,F,99.27017,3.06395
BV____Mon,2826,85,3.0139684,F,104.21288,4.51619
V376__Mon,2781,90,1.6519572,F,102.20013,-3.60467
AA____Mon,4100,114,3.9381476,F,104.34904,-3.84334
RY____CMa,1259,40,4.6783901,F,109.15684,-11.48731
TV____CMa,2447,74,4.6700971,F,107.31421,-13.78608
RZ____CMa,1843,38,4.255078,F,110.38692,-16.68722
RW____CMa,3051,105,5.7297117,F,108.29867,-18.73075
VX____Pup,1279,26,3.011783,F,113.15271,-21.93042
SS____CMa,3097,103,12.3541042,F,111.53,-25.25734
WX____Pup,2524,63,8.9363892,F,115.49583,-25.87616
BM____Pup,3445,86,7.1983699,F,117.51301,-28.25517
LL____Pup,3076,75,5.077405,F,118.45325,-30.46033
HL____Pup,2708,83,3.4824724,F,122.79504,-33.51586
V729__Pup,4123,101,4.0886506,F,121.29596,-34.36028
V724__Pup,2979,97,5.564072,F,118.43777,-36.97039
RS____Pup,1695,62,41.5244799,F,123.26758,-34.57853
AT____Pup,1551,42,6.6649973,F,123.09333,-36.94375
V730__Pup,3117,95,3.5789952,F,122.60325,-38.47372
AP____Pup,980,30,5.0842863,F,119.4403,-40.12337
J082127-3825.3,4916,117,3.9611749,F,125.36087,-38.42173
V520__Vel,1835,49,12.9592684,F,129.04735,-39.06176
CO____Vel,2281,54,4.2755229,F,127.42217,-40.33389
RZ____Vel,1411,57,20.4009397,F,129.25542,-44.11466
AP____Vel,1631,40,3.1277594,F,129.94067,-43.86086
AX____Vel,1311,45,3.6732894,F,122.7055,-47.69856
T_____Ant,3020,113,5.8983587,F,143.46191,-36.61578
SX____Vel,2067,61,9.5506149,F,131.22279,-46.34297
T_____Vel,1077,37,4.6398383,F,129.42013,-47.36197
SW____Vel,2283,91,23.4069247,F,130.91121,-47.40312
CP____Vel,5589,166,9.8427028,F,132.04367,-48.65916
V527__Vel,3056,62,6.6283236,F,136.14876,-46.55361
ST____Vel,1751,52,5.8582837,F,131.23288,-50.56003
bet___Dor,349,15,9.8422891,F,83.40634,-62.48983
BG____Vel,922,34,6.9237971,F,137.06563,-51.43629
DR____Vel,2038,67,11.1993194,F,142.92076,-49.65501
V537__Vel,3633,77,3.3679806,F,142.52121,-51.62364
V536__Vel,3878,79,7.6433684,F,141.99084,-52.31612
V_____Car,1188,45,6.6967453,F,127.18205,-60.12258
DP____Vel,3363,71,5.4844858,F,142.566,-53.05869
FG____Vel,3234,64,6.4536452,F,143.34888,-52.75586
AE____Vel,2303,54,7.1339448,F,144.21446,-53.03281
V_____Vel,987,34,4.3710577,F,140.56738,-55.96031
CS____Vel,3527,73,5.9047043,F,145.29275,-53.81606
V690__Car,3368,103,4.1505759,F,147.11175,-58.01814
GX____Car,2194,70,7.19688,F,148.859,-58.4297
V701__Car,2256,49,4.0892288,F,152.30675,-57.24264
V854__Car,2535,60,5.0706404,F,152.65342,-58.29636
CN____Car,2877,76,4.9326581,F,153.88697,-58.17444
GZ____Car,2314,56,4.1589077,F,155.08487,-59.37661
UX____Car,1479,37,3.682172,F,157.29684,-57.61339
XX____Vel,3176,161,6.984581,F,159.03584,-56.04325
HS____Car,3902,101,5.0924229,F,156.14247,-59.53597
AQ____Car,2720,84,9.7695137,F,155.34575,-61.07411
OGLE-GD-CEP-0547,2493,59,5.5170749,F,159.06155,-58.42103
SV____Vel,2276,88,14.0980332,F,161.23479,-56.28955
AY____Car,3490,98,5.5732683,F,158.6308,-59.80856
VY____Car,1858,75,18.8900259,F,161.13622,-57.56536
SX____Car,1822,61,4.8600155,F,161.52434,-57.54753
UY____Car,2170,83,5.5437621,F,158.01847,-61.78264
UZ____Car,2313,106,5.204631,F,159.07425,-61.01256
HW____Car,2642,78,9.1992766,F,159.83472,-61.15245
EY____Car,2168,43,2.8759761,F,160.59596,-61.16592
OGLE-GD-CEP-0575,2458,72,6.6110492,F,161.68646,-60.26831
WW____Car,2205,53,4.6768391,F,162.89904,-59.385
U_____Car,1547,78,38.8377267,F,164.4508,-59.73219
CY____Car,2255,50,4.2659148,F,164.46112,-60.74208
ER____Car,1096,41,7.7185954,F,167.42141,-58.83772
XZ____Car,2414,76,16.6528143,F,166.05613,-60.97994
FO____Car,4121,94,10.3564096,F,165.37792,-62.29083
FR____Car,3172,110,10.7167444,F,168.58837,-60.05292
XX____Car,3524,150,15.7070571,F,164.28841,-65.13475
XY____Car,2528,85,12.4360971,F,165.56696,-64.26289
IT____Car,1538,37,7.5330469,F,168.04221,-61.75487
AY____Cen,1665,39,5.3094716,F,171.27395,-60.73461
LV____Cen,3321,70,4.9746477,F,173.32412,-63.24239
UZ____Cen,1454,27,3.3343089,F,175.24388,-62.69247
BK____Cen,2279,50,3.1738807,F,177.31672,-63.07859
RT____Mus,1306,38,3.0861175,F,176.13699,-67.30525
UU____Mus,3306,135,11.6362512,F,178.07383,-65.4042
AD____Cru,2999,76,6.3972335,F,183.24864,-62.09683
T_____Cru,777,19,6.7333343,F,185.33805,-62.28164
R_____Cru,875,22,5.8257981,F,185.90704,-61.62911
VV____Cru,3588,88,6.1210726,F,185.88242,-64.47089
VW____Cru,1344,32,5.2651814,F,188.32781,-63.50636
AG____Cru,1274,46,3.837276,F,190.35851,-59.79417
R_____Mus,875,30,7.5102427,F,190.52098,-69.40755
X_____Cru,1519,44,6.2201526,F,191.59283,-59.12472
S_____Cru,699,26,4.6897859,F,193.59167,-58.43061
V496__Cen,1819,60,4.4241128,F,195.79454,-60.87747
MY____Cen,1870,58,3.7186546,F,197.76863,-61.62711
XX____Cen,1734,56,10.9526746,F,205.07767,-57.61319
V381__Cen,1180,43,5.0788564,F,207.68455,-57.58049
V339__Cen,1668,43,9.4665925,F,215.45229,-61.54961
V737__Cen,799,30,7.0659398,F,219.29989,-62.01089
V_____Cen,706,24,5.4940002,F,218.13785,-56.88772
V1210_Cen,1192,131,4.3174795,F,219.23151,-58.26145
R_____TrA,613,21,3.3892374,F,229.94045,-66.49602
